group,metric,metric_label,comparison,n,mean_normal,mean_missing,mean_diff,std_diff,t_stat,t_pvalue,cohens_dz,wilcoxon_stat,wilcoxon_pvalue,rank_biserial_r,mean_wrong,t_pvalue_holm,wilcoxon_pvalue_holm
Open-Ended,nuggets-vital-recall,Vital Recall,normal vs missing,3726,0.408969137640883,0.29911190736906623,0.11694267624289084,0.13323392598879075,53.57715252721882,0.0,0.8777244637580482,96750.0,0.0,0.9410636503438867,,0.0,0.0
Open-Ended,nuggets-vital-recall,Vital Recall,normal vs wrong,3726,0.408969137640883,,0.0349703246686665,0.08810699067647963,24.22761823199054,1.5359516830035733e-120,0.3969074916776372,211344.0,8.829164909236999e-116,0.6632826689609024,0.37892287288064475,1.2287613464028587e-119,5.541517349935114e-115
Open-Ended,nuggets-vital-recall,Vital Recall,missing vs wrong,3726,,0.29911190736906623,-0.08197235157422436,0.13924740026339705,-35.93368229035159,4.79162719321222e-243,-0.5886813787486691,325612.0,1.975346341306443e-223,-0.7618307634410529,0.37892287288064475,6.229115351175886e-242,1.975346341306443e-222
Open-Ended,linear-decay-recall,Linear-Decay Recall,normal vs missing,3726,0.7103298600348411,0.6105949042558045,0.13375690104356344,0.17874992217002725,45.67638891508377,0.0,0.7482906813035344,300133.0,0.0,0.8691063445260326,,0.0,0.0
Open-Ended,linear-decay-recall,Linear-Decay Recall,normal vs wrong,3726,0.7103298600348411,,0.06238523255259224,0.1380350972132979,27.58758588279056,1.3252467382563794e-152,0.45195195868331833,510904.0,3.5940734552861084e-140,0.6087657532961552,0.6643286948351433,1.1927220644307414e-151,2.8752587642288868e-139
Open-Ended,linear-decay-recall,Linear-Decay Recall,missing vs wrong,3726,,0.6105949042558045,-0.0713716684909712,0.20857354955147017,-20.88757598332396,1.03632551355025e-91,-0.34218945136837037,1297849.5,2.49384220446295e-103,-0.44972054603549333,0.6643286948351433,6.2179530813015e-91,1.246921102231475e-102
Single-Answer,factscore,Factscore (precision),normal vs missing,2717,0.8247399718077735,0.8252788715514513,-0.00014741821761695114,0.09765756295245158,-0.0786846636950847,0.9372892406282886,-0.0015095422531558307,1051806.5,0.5350882420976437,-0.01575134353135156,,0.9372892406282886,1.0
Single-Answer,factscore,Factscore (precision),normal vs wrong,2717,0.8247399718077735,,0.05904570334108989,0.07881680448726215,39.04939380488728,3.995895234488444e-265,0.7491511959309701,400913.5,4.36352358985809e-240,0.7552061962680735,0.7656684750957345,5.594253328283822e-264,6.545285384787135e-239
Single-Answer,factscore,Factscore (precision),missing vs wrong,2717,,0.8252788715514513,0.059193121558706825,0.10477889836972434,29.447079873628738,1.2036466701158167e-165,0.5649336123943307,613594.0,7.567980028695548e-183,0.6479788418069372,0.7656684750957345,1.3240113371273984e-164,8.324778031565102e-182
Single-Answer,vital-precision,Vital Precision,normal vs missing,3000,0.728138761127742,0.7222312011245835,0.005907560003158557,0.29814294671635816,1.0852860713902976,0.2778822040101663,0.01981452208822094,394096.0,0.8469128389781151,0.006276082050506197,,0.5557644080203326,1.0
